Matrícula,Início,Término,Situação,Contrato,Usuário
9366970,2023-03-13,2023-09-08,EXONERADO/RESCISO,20783/2023,4625
9460705,2023-09-11,2025-06-26,EM EXERCÍCIO,28801/2023,1056
9184430,2005-08-01,,EM EXERCÍCIO,9733/2023,6626
9416218,2023-09-01,2025-06-26,EM EXERCÍCIO,27445/2023,4328
2376709,1992-04-02,,EM EXERCÍCIO,7065/2022,8919
2350289,1989-06-30,,EM EXERCÍCIO,6669/2022,4909
252280,2022-03-25,,EM EXERCÍCIO,6/2022,7910
9073744,2014-01-20,,EM EXERCÍCIO,7972/2022,6923
9432906,2015-06-08,,EM EXERCÍCIO,13198/2022,9562
9365168,2017-12-28,,EM EXERCÍCIO,11982/2023,837
347868,2021-03-01,2023-02-27,EXONERADO/RESCISO,6348/2022,1672
9172149,2022-06-29,2023-06-28,EM EXERCÍCIO,17447/2023,5260
288314,1990-03-01,,EM EXERCÍCIO,5214/2022,4647
264032,1992-07-06,,EM EXERCÍCIO,4863/2022,10067
9074775,2008-06-12,,EM EXERCÍCIO,7995/2023,1875
326879,1998-05-14,,EM EXERCÍCIO,5786/2022,3300
9182497,2014-01-20,,EM EXERCÍCIO,9713/2023,7385
9062556,2023-03-20,2023-09-15,EXONERADO/RESCISO,22349/2023,9236
9084657,2023-11-06,2025-10-31,EM EXERCÍCIO,32033/2023,6058
293415,1998-03-10,,EM EXERCÍCIO,5342/2023,6293
251224,1990-03-01,,EM EXERCÍCIO,4573/2022,7195
9130411,2023-03-20,2023-09-15,EXONERADO/RESCISO,21789/2023,9494
234567,1992-02-11,,EM EXERCÍCIO,3699/2022,6944
9201203,2006-03-29,,EM EXERCÍCIO,9853/2022,972
8940,1976-03-01,,EM EXERCÍCIO,17576/2022,6142
328995,1994-05-11,,EM EXERCÍCIO,5945/2022,7361
182052,2006-03-29,,EM EXERCÍCIO,1204/2022,6079
328820,1994-05-10,,EM EXERCÍCIO,5931/2022,2882
9131795,2023-05-12,2023-12-31,EM EXERCÍCIO,26284/2023,6709
9105352,2023-10-24,2025-10-23,EM EXERCÍCIO,31369/2023,1646
344168,2023-01-02,2023-12-31,EM EXERCÍCIO,25698/2023,10141
328855,1994-05-10,,EM EXERCÍCIO,5934/2022,6717
47147,1986-05-13,,EM EXERCÍCIO,257/2022,1388
324710,1994-05-10,,EM EXERCÍCIO,5677/2022,8473
9220070,2023-01-01,2023-12-31,EM EXERCÍCIO,17877/2023,3456
9251596,2008-03-07,,EM EXERCÍCIO,10359/2022,8168
9158090,2023-09-18,2025-06-26,EM EXERCÍCIO,28605/2023,2092
2384639,1992-04-08,,EM EXERCÍCIO,7418/2022,4721
9358528,2014-01-20,,EM EXERCÍCIO,11895/2023,5664
9062254,2023-01-25,2023-12-31,EM EXERCÍCIO,20332/2023,2123
328138,2005-08-01,,EM EXERCÍCIO,5880/2023,6965
244325,1992-05-14,,EM EXERCÍCIO,4278/2023,4648
9398350,2021-02-27,,EM EXERCÍCIO,12675/2022,5798
356204,2014-01-20,,EM EXERCÍCIO,6481/2022,2845
9473840,2017-05-30,,EM EXERCÍCIO,13981/2022,969
245542,2002-02-01,2022-12-31,EXONERADO/RESCISO,18249/2022,9347
9084967,2014-01-20,,EM EXERCÍCIO,8123/2022,7249
9346058,2020-09-04,,EM EXERCÍCIO,11630/2022,4595
229105,1992-02-11,,EM EXERCÍCIO,3497/2023,7957
9075780,2023-06-22,2023-12-13,EXONERADO/RESCISO,26762/2023,3164
9147543,2023-09-11,2025-06-26,EM EXERCÍCIO,29896/2023,1180
241334,1990-03-01,,EM EXERCÍCIO,18190/2022,5569
161365,1986-03-03,,EM EXERCÍCIO,830/2022,9037
328812,1994-05-10,,EM EXERCÍCIO,5930/2022,5189
162175,1985-03-01,,EM EXERCÍCIO,866/2023,6962
9128980,2014-01-20,,EM EXERCÍCIO,8813/2022,2908
221350,1992-01-02,,EM EXERCÍCIO,1626/2022,4763
9338004,2023-01-02,2023-12-31,EM EXERCÍCIO,25722/2023,5821
9086951,2014-01-20,,EM EXERCÍCIO,8174/2022,8826
9298568,2011-01-11,,EM EXERCÍCIO,10827/2023,6703
9455698,2023-10-10,2025-06-26,EM EXERCÍCIO,30740/2023,1120
9473866,2023-10-11,2025-06-26,EM EXERCÍCIO,30915/2023,979
9256490,2021-06-18,,EM EXERCÍCIO,10463/2022,4503
238163,1992-05-15,,EM EXERCÍCIO,3891/2023,1872
267244,2021-02-27,2023-02-27,EXONERADO/RESCISO,4964/2022,5847
9127941,2014-03-06,,EM EXERCÍCIO,8777/2022,5401
9239014,2023-04-01,2023-09-27,EXONERADO/RESCISO,24214/2023,1457
211265,2005-08-01,,EM EXERCÍCIO,18191/2022,7046
9105123,2023-10-24,2025-10-23,EM EXERCÍCIO,31625/2023,10209
275964,1994-03-14,,LICENCIADO,5117/2022,6016
351547,2006-03-29,,EM EXERCÍCIO,6431/2022,2805
273201,1993-06-30,,EM EXERCÍCIO,5086/2022,2775
9085718,2023-09-18,2025-06-26,EM EXERCÍCIO,29026/2023,8486
9167986,2014-01-20,,EM EXERCÍCIO,9450/2022,3269
9062289,1998-04-08,,EM EXERCÍCIO,7822/2022,2820
9283790,2023-10-02,2025-06-26,EM EXERCÍCIO,30413/2023,6088
9414061,2023-10-02,2025-06-26,EM EXERCÍCIO,30402/2023,7828
9330356,2023-09-18,2025-06-26,EM EXERCÍCIO,28343/2023,2729
9321780,2023-11-01,2025-06-26,EM EXERCÍCIO,31034/2023,8905
9379762,2023-03-20,2023-09-15,EXONERADO/RESCISO,20874/2023,4475
9303294,2023-09-18,2025-06-26,EM EXERCÍCIO,28779/2023,3753
9418750,2023-03-20,2023-09-15,EXONERADO/RESCISO,21974/2023,9337
9396071,2023-09-11,2025-06-26,EM EXERCÍCIO,29917/2023,3011
2377608,1992-04-03,,EM EXERCÍCIO,7101/2022,6336
9355553,2021-03-25,2023-02-27,EXONERADO/RESCISO,11850/2022,3965
9400761,2023-10-30,2025-10-29,EM EXERCÍCIO,31746/2023,3457
9061576,1998-03-10,,EM EXERCÍCIO,7752/2022,5195
9147560,2011-01-11,,EM EXERCÍCIO,9049/2022,828
9201750,2006-03-29,,EM EXERCÍCIO,9900/2022,7242
9428321,2023-09-18,2025-06-26,EM EXERCÍCIO,28589/2023,1849
9397809,2023-05-16,2023-10-27,EXONERADO/RESCISO,26423/2023,10094
9446249,2023-09-18,2025-06-26,EM EXERCÍCIO,28557/2023,5755
9383956,2023-10-24,2025-10-23,EM EXERCÍCIO,31516/2023,2085
9354018,2023-09-11,2025-06-26,EM EXERCÍCIO,27435/2023,3136
9321772,2021-03-01,2023-02-27,EXONERADO/RESCISO,11243/2022,3914
66265,2006-03-29,,EM EXERCÍCIO,280/2023,1544
9302433,2020-09-04,,EM EXERCÍCIO,10887/2022,5531
9147497,2022-01-01,2022-12-31,EXONERADO/RESCISO,18870/2022,888
235377,1992-05-29,,EM EXERCÍCIO,3747/2022,2733
241490,1989-06-30,,EM EXERCÍCIO,17539/2023,5021
9384251,2023-03-16,2025-01-28,EM EXERCÍCIO,22731/2023,8728
354082,2023-01-28,2023-02-27,EM EXERCÍCIO,6458/2023,7404
9323740,2021-12-16,2023-01-28,EM EXERCÍCIO,18625/2023,1605
9224157,2019-03-01,2023-02-27,EXONERADO/RESCISO,10098/2022,5187
306762,2023-03-29,2023-12-31,EM EXERCÍCIO,25209/2023,1514
58513,1992-03-26,,APOSENTADO,275/2023,6763
34916,1985-07-01,,EM EXERCÍCIO,178/2022,8123
316784,2023-01-02,2023-12-31,EM EXERCÍCIO,25798/2023,6384
9473882,2017-05-30,,EM EXERCÍCIO,13985/2022,1125
2355833,2023-03-13,2023-09-08,EXONERADO/RESCISO,20461/2023,5609
209805,1986-05-12,,EM EXERCÍCIO,1410/2022,2932
230120,1992-04-20,,EM EXERCÍCIO,3551/2022,3984
